-3.8, '1111000', [0.79646, 0.79752, 0.798067, 0.799765, [99900], [99900], [99900]], [1e-05, 1e-05, 0.000537, 9.5e-05, [99900], [99900], [99900]], [-5.46691, -5.46899, -5.470947, -5.475015, [99900], [99900], [99900]], [1e-05, 1e-05, 0.000792, 0.000421, [99900], [99900], [99900]]
-2.5, '0000111', [[99900], [99900], [99900], [99900], 0.41536, 0.41613, 0.41601], [[99900], [99900], [99900], [99900], 1e-05, 0.000184, 1e-05], [[99900], [99900], [99900], [99900], -2.39492, -2.39705, -2.3961], [[99900], [99900], [99900], [99900], 1e-05, 0.000799, 1e-05]
-3.4, '0000111', [[99900], [99900], [99900], [99900], 0.41613, 0.4162, 0.4163], [[99900], [99900], [99900], [99900], 1e-05, 0.000198, 0.000276], [[99900], [99900], [99900], [99900], -2.39857, -2.397605, -2.397755], [[99900], [99900], [99900], [99900], 1e-05, 0.000909, 0.001184]
-3.8, '0000111', [[99900], [99900], [99900], [99900], 0.41615, 0.41652, 0.4167], [[99900], [99900], [99900], [99900], 1e-05, 1e-05, 1e-05], [[99900], [99900], [99900], [99900], -2.39868, -2.39915, -2.39954], [[99900], [99900], [99900], [99900], 1e-05, 1e-05, 1e-05]
-4.2, '0000110', [[99900], [99900], [99900], [99900], 0.41622, 0.41651, [99900]], [[99900], [99900], [99900], [99900], 9.9e-05, 1e-05, [99900]], [[99900], [99900], [99900], [99900], -2.398855, -2.39952, [99900]], [[99900], [99900], [99900], [99900], 6e-05, 1e-05, [99900]]
-2.9, '0000011', [[99900], [99900], [99900], [99900], [99900], 0.41612, 0.41634], [[99900], [99900], [99900], [99900], [99900], 0.000212, 0.000255], [[99900], [99900], [99900], [99900], [99900], -2.397205, -2.39785], [[99900], [99900], [99900], [99900], [99900], 0.000993, 0.001153]
0.8, '1100000', [0.40894, 0.40918, [99900], [99900], [99900], [99900], [99900]], [1e-05, 1e-05, [99900], [99900], [99900], [99900], [99900]], [-2.392, -2.39278, [99900], [99900], [99900], [99900], [99900]], [1e-05, 1e-05, [99900], [99900], [99900], [99900], [99900]]
0.4, '1100000', [0.40897, 0.40922, [99900], [99900], [99900], [99900], [99900]], [1e-05, 1e-05, [99900], [99900], [99900], [99900], [99900]], [-2.39186, -2.39277, [99900], [99900], [99900], [99900], [99900]], [1e-05, 1e-05, [99900], [99900], [99900], [99900], [99900]]
0.4, '1001000', [0.41209, [99900], [99900], 0.41208, [99900], [99900], [99900]], [0.000158, [99900], [99900], 1e-05, [99900], [99900], [99900]], [-2.412403, [99900], [99900], -2.4101, [99900], [99900], [99900]], [0.000622, [99900], [99900], 1e-05, [99900], [99900], [99900]]
-0.0, '1101000', [0.41207, 0.41252, [99900], 0.41212, [99900], [99900], [99900]], [0.000134, 4.2e-05, [99900], 1e-05, [99900], [99900], [99900]], [-2.41199, -2.41284, [99900], -2.41027, [99900], [99900], [99900]], [0.000518, 0.000255, [99900], 1e-05, [99900], [99900], [99900]]
-0.4, '1111000', [0.411906, 0.4124, 0.4116, 0.41214, [99900], [99900], [99900]], [0.000142, 1e-05, 1e-05, 1e-05, [99900], [99900], [99900]], [-2.411504, -2.41267, -2.40805, -2.41042, [99900], [99900], [99900]], [0.000634, 1e-05, 1e-05, 1e-05, [99900], [99900], [99900]]
-0.8, '1111000', [0.41174, 0.4123, 0.41137, 0.41214, [99900], [99900], [99900]], [0.000113, 1e-05, 1e-05, 1e-05, [99900], [99900], [99900]], [-2.410743, -2.41233, -2.40776, -2.41052, [99900], [99900], [99900]], [0.000442, 1e-05, 1e-05, 1e-05, [99900], [99900], [99900]]
-1.3, '1111000', [0.411283, 0.41224, 0.41128, 0.41211, [99900], [99900], [99900]], [0.000217, 1e-05, 1e-05, 1e-05, [99900], [99900], [99900]], [-2.40917, -2.41211, -2.40764, -2.41039, [99900], [99900], [99900]], [0.000779, 1e-05, 1e-05, 1e-05, [99900], [99900], [99900]]
-1.7, '1111000', [0.410992, 0.411625, 0.411797, 0.411795, [99900], [99900], [99900]], [0.000227, 0.000407, 0.000265, 1.8e-05, [99900], [99900], [99900]], [-2.408127, -2.409545, -2.41052, -2.40991, [99900], [99900], [99900]], [0.000903, 0.001644, 0.001374, 0.000311, [99900], [99900], [99900]]
-2.1, '1111000', [0.411039, 0.41122, 0.412168, 0.41186, [99900], [99900], [99900]], [0.000101, 1e-05, 0.000217, 1e-05, [99900], [99900], [99900]], [-2.408197, -2.40795, -2.412282, -2.41018, [99900], [99900], [99900]], [0.000406, 1e-05, 0.001052, 1e-05, [99900], [99900], [99900]]
-2.5, '1111000', [0.41102, 0.41149, 0.412092, 0.41194, [99900], [99900], [99900]], [0.000163, 1e-05, 0.0002, 0.000106, [99900], [99900], [99900]], [-2.40854, -2.40923, -2.411752, -2.41045, [99900], [99900], [99900]], [0.000799, 1e-05, 0.000923, 0.000686, [99900], [99900], [99900]]
