,#NO,RA,DEC,VLSR,FLUX,DFLUX,??
,89,0.66868,-5.25744,-23.58269,1.97000,0.19000,1
,89,0.66900,-5.25859,-23.58269,4.44900,0.20000,1
,89,0.67366,-5.26491,-23.58269,9.49100,0.20000,1
,89,0.67381,-5.26431,-23.58269,6.62600,0.20000,1
,90,0.65252,-5.30227,-24.00399,1.10500,0.15400,1
,90,0.67372,-5.26494,-24.00399,7.77000,0.16000,1
,90,0.67390,-5.26438,-24.00399,4.82000,0.16000,1
,91,0.67376,-5.26502,-24.42529,4.26500,0.09800,1
,91,0.67392,-5.26441,-24.42529,2.65800,0.09800,1
,92,0.67381,-5.26437,-24.84658,1.26100,0.05400,1
,92,0.67393,-5.26538,-24.84658,1.03500,0.05400,1
,36,0.79437,-5.46533,-1.25396,1.08800,0.05800,1
,36,0.79907,-5.47115,-1.25396,1.53100,0.05800,1
,36,0.79909,-5.47207,-1.25396,1.41200,0.05800,1
,37,0.79437,-5.46535,-1.67525,1.02100,0.08800,1
,37,0.79740,-5.46854,-1.67525,1.85500,0.08800,1
,37,0.79901,-5.47240,-1.67525,1.12800,0.08600,1
,37,0.79909,-5.47139,-1.67525,3.34900,0.08800,1
,38,0.79435,-5.46542,-2.09655,1.00400,0.13600,1
,38,0.79435,-5.46499,-2.09655,1.57600,0.13600,1
,38,0.79754,-5.46848,-2.09655,2.20500,0.13600,1
,38,0.79907,-5.47164,-2.09655,4.67600,0.13600,1
,39,0.79735,-5.46824,-2.51785,2.55800,0.20500,1
,39,0.79862,-5.47235,-2.51785,1.90400,0.19500,1
,39,0.79905,-5.47135,-2.51785,4.59400,0.20500,1
,40,0.79729,-5.46825,-2.93914,2.63900,0.22300,1
,40,0.79848,-5.47230,-2.93914,2.30800,0.21400,1
,40,0.79898,-5.47131,-2.93914,3.81400,0.22300,1
,41,0.79682,-5.46889,-3.36044,1.12700,0.14700,1
,41,0.79729,-5.46847,-3.36044,1.90100,0.14900,1
,41,0.79838,-5.47220,-3.36044,2.77800,0.14500,1
,41,0.79897,-5.47143,-3.36044,3.20500,0.14900,1
,42,0.79681,-5.46902,-3.78174,1.51300,0.08300,1
,42,0.79836,-5.47211,-3.78174,3.03300,0.08200,1
,42,0.79903,-5.47171,-3.78174,2.15000,0.08300,1
,43,0.79666,-5.46907,-4.20303,1.05100,0.07000,1
,43,0.79840,-5.47209,-4.20303,2.37800,0.06800,1
,43,0.79890,-5.47154,-4.20303,1.22300,0.07000,1
,44,0.79689,-5.46875,-4.62433,1.17300,0.09300,1
,44,0.79849,-5.47216,-4.62433,1.17300,0.09100,1
,44,0.79855,-5.47103,-4.62433,1.02700,0.09300,1
,80,0.79142,-5.47304,-19.79102,1.47600,0.09300,1
,81,0.79132,-5.47327,-20.21232,2.31000,0.08900,1
,82,0.79095,-5.47357,-20.63361,1.22700,0.09600,1
,82,0.79138,-5.47275,-20.63361,3.04300,0.10200,1
,83,0.78665,-5.46634,-21.05491,1.16700,0.12000,1
,84,0.78633,-5.46543,-21.47621,1.47200,0.12900,1
,84,0.78662,-5.46628,-21.47621,1.72700,0.13600,1
,84,0.79134,-5.47300,-21.47621,3.69300,0.13600,1
,84,0.79135,-5.47214,-21.47621,4.11100,0.13600,1
,85,0.78627,-5.46525,-21.89750,1.54400,0.12300,1
,85,0.78660,-5.46627,-21.89750,1.80200,0.13100,1
,85,0.79128,-5.47281,-21.89750,4.34600,0.13100,1
,85,0.79131,-5.47198,-21.89750,4.01500,0.13100,1
,86,0.78612,-5.46488,-22.31880,1.08400,0.10800,1
,86,0.78655,-5.46625,-22.31880,1.16800,0.11600,1
